"rle", "population", "period", "dx", "dy", "speed", "type", "count", "probability"
"2bo$2b2o2$b2o$2bo2$bo", 7, 1678, 2, 0, 0.0011918951132300357, "orthogonal", 5, 4.5989513875753774e-8
"$bo$o$bo$o2bo2$2bo2$bo", 7, 1297, 1, 1, 0.0007710100231303007, "diagonal", 1, 9.197902775150754e-9
"bo$2bo2$bo$bo$2bo$3bo$2bo", 7, 8882, 2, 0, 0.00022517451024544022, "orthogonal", 8, 7.358322220120604e-8
"2bo$bo$b2o3$2bo$2bo2$bo", 7, 2710, 2, 0, 0.0007380073800738007, "orthogonal", 6, 5.518741665090453e-8
"$obo$2bo$o2bo3$2b2o", 7, 1259, 1, 1, 0.0007942811755361397, "diagonal", 9, 8.278112497635679e-8
"bo2bo$6bo2$bo3bo$b2o", 7, 155, 1, 1, 0.0064516129032258064, "diagonal", 67, 6.162594859351006e-7
"b2o3$2o$b2o3$bo", 7, 1586, 2, 0, 0.0012610340479192938, "orthogonal", 4, 3.679161110060302e-8
"$3bobo$bobobo$o$bo", 7, 276, 2, 2, 0.007246376811594203, "diagonal", 203, 0.000001867174263355603
"2b2o$bo$4b3o$5bo", 7, 458, 2, 0, 0.004366812227074236, "orthogonal", 42, 3.863119165563317e-7
"4bobo$7bo2$b2ob2o", 7, 1416, 4, 0, 0.002824858757062147, "orthogonal", 13, 1.195727360769598e-7
"o4b2obo$o4bo3bo", 7, 3206, 2, 0, 0.0006238303181534623, "orthogonal", 1, 9.197902775150754e-9
"4bo2$b3obo$o2bo", 7, 866, 2, 0, 0.0023094688221709007, "orthogonal", 20, 1.839580555030151e-7
"6bo2$b3o2$3b3o", 7, 12206, 4, 4, 0.00032770768474520726, "diagonal", 0, 0
"2bo2$bo2bo$b2o$b2o", 7, 88, 2, 2, 0.022727272727272728, "diagonal", 1169, 0.000010752348344151231
"3bo$2obo$4bo$2b2o", 7, 2232, 4, 4, 0.0017921146953405018, "diagonal", 35, 3.2192659713027644e-7
"bo3$bo$bo2$bo$bo$b2o", 7, 286, 2, 0, 0.006993006993006993, "orthogonal", 63, 5.794678748344976e-7
"o$2o$2bo$2bo$o$o", 7, 364, 4, 0, 0.01098901098901099, "orthogonal", 183, 0.000001683216207852588
"3bo$2b2o2$bobo$2bo2$2bo", 7, 182, 2, 0, 0.01098901098901099, "orthogonal", 121, 0.0000011129462357932413
"o$o$o$o2$o$o3$o", 7, 2046, 2, 0, 0.0009775171065493646, "orthogonal", 8, 7.358322220120604e-8
"bo$2o$b2o2$o2$2bo", 7, 178, 2, 0, 0.011235955056179775, "orthogonal", 95, 8.738007636393216e-7
"o$b2o2$ob3o", 7, 1713, 1, 1, 0.0005837711617046118, "diagonal", 6, 5.518741665090453e-8
"3bo$bobo$bobo2$3bo$2bo", 7, 334, 2, 0, 0.005988023952095809, "orthogonal", 41, 3.771140137811809e-7
"bo3bo$b2o2$b2o2bo", 7, 618, 2, 2, 0.003236245954692557, "diagonal", 26, 2.391454721539196e-7
"obobo$4bo$b3o", 7, 7190, 2, 0, 0.0002781641168289291, "orthogonal", 22, 2.023538610533166e-7
"bo4$b2o2$bo$b2o2$2bo", 7, 2122, 2, 0, 0.000942507068803016, "orthogonal", 18, 1.6556224995271358e-7
"bo$2bo$b3o2$bo$bo", 7, 4342, 2, 0, 0.00046061722708429296, "orthogonal", 4, 3.679161110060302e-8
"2bo2$3b2o$bo3bo$2bo2bo", 7, 506, 2, 0, 0.003952569169960474, "orthogonal", 44, 4.047077221066332e-7
"2b3o$2bobo2$4bo$bo", 7, 334, 2, 0, 0.005988023952095809, "orthogonal", 93, 8.554049580890202e-7
"o$2bo$obo$3o", 7, 343, 3, 3, 0.008746355685131196, "diagonal", 626, 0.000005757887137244372
"4bo$3bo$bob2o$2bo$bo", 7, 1138, 4, 4, 0.0035149384885764497, "diagonal", 60, 5.518741665090453e-7
"o2bo$2obo$b2o", 7, 5574, 6, 6, 0.001076426264800861, "diagonal", 163, 0.000001499258152349573
"bo$bobo$b3o$3bo", 7, 114, 2, 2, 0.017543859649122806, "diagonal", 765, 0.000007036395622990327
"2o3$2o$o4$2o", 7, 284, 4, 0, 0.014084507042253521, "orthogonal", 213, 0.0000019591532911071106
"$bo$b2o$2bo$2b2o$3bo", 7, 365, 1, 1, 0.0027397260273972603, "diagonal", 18, 1.6556224995271358e-7
"3bo3bo$b2ob2obo", 7, 4640, 4, 4, 0.0008620689655172414, "diagonal", 12, 1.1037483330180906e-7
"obo$o$obo2$o$o", 7, 41, 3, 3, 0.07317073170731707, "diagonal", 4693, 0.00004316575772378249
"o2bo$o$b2o$2o", 7, 318, 2, 2, 0.006289308176100629, "diagonal", 245, 0.0000022534861799119348
"bo$3b2o$2bo$2b2o$3bo", 7, 31, 1, 1, 0.03225806451612903, "diagonal", 1330, 0.000012233210690950504
"2bo2bo$2bobo$b2o$3bo", 7, 366, 2, 2, 0.00546448087431694, "diagonal", 64, 5.886657776096483e-7
"o$o2$3o$obo", 7, 580, 4, 0, 0.006896551724137931, "orthogonal", 148, 0.0000013612896107223116
"4bo$3bo$2b2o$bo2bo2$3bo", 7, 542, 2, 0, 0.0036900369003690036, "orthogonal", 13, 1.195727360769598e-7
"bo$o$o$o3$bo$o$o", 7, 2486, 2, 0, 0.0008045052292839903, "orthogonal", 4, 3.679161110060302e-8
"o$o$o$b2o2$bo2$bo", 7, 1034, 2, 0, 0.0019342359767891683, "orthogonal", 15, 1.3796854162726131e-7
"bo$bo$b2o3$2bo$2b2o", 7, 1054, 2, 0, 0.0018975332068311196, "orthogonal", 2, 1.839580555030151e-8
"2bo2$2obo$bo$o$o", 7, 3018, 2, 0, 0.0006626905235255136, "orthogonal", 9, 8.278112497635679e-8
"bo$bo2$bo$bo$bo3$bo$o", 7, 2138, 2, 0, 0.0009354536950420954, "orthogonal", 2, 1.839580555030151e-8
"2bo2$bo$bo$b2o$bo5$2bo", 7, 1648, 4, 0, 0.0024271844660194173, "orthogonal", 22, 2.023538610533166e-7
"2bob2o$b2obo$bo", 7, 4336, 8, 0, 0.0018450184501845018, "orthogonal", 46, 4.231035276569347e-7
"4bo2$5bo$b3o$2o", 7, 6216, 2, 2, 0.00032175032175032174, "diagonal", 8, 7.358322220120604e-8
"bo$2bo$2bo$2bo$o$2o", 7, 3154, 2, 0, 0.0006341154090044388, "orthogonal", 6, 5.518741665090453e-8
"o3$o2$bo$2o$o3$o", 7, 2730, 2, 0, 0.0007326007326007326, "orthogonal", 3, 2.7593708325452265e-8
"bo$obo$bobo$2bo$bo", 7, 1220, 4, 0, 0.003278688524590164, "orthogonal", 12, 1.1037483330180906e-7
"$bo$2b2o2$2bo$bo$b2o", 7, 1597, 3, 3, 0.001878522229179712, "diagonal", 10, 9.197902775150755e-8
"bo$3bo4$bo$b3o$bo", 7, 1638, 2, 0, 0.001221001221001221, "orthogonal", 14, 1.2877063885211056e-7
